Test Time: 2026-03-13 13:02:42 ~ 2026-03-13 13:03:20 (Duration: 38.9s)
refRPM,RPM,refCCR,State
4000.0,3992.1,4567.0,STDY
4000.0,3991.4,4571.0,STDY
4000.0,3991.9,4571.0,STDY
4000.0,3991.3,4572.0,STDY
4000.0,3991.2,4570.0,STDY
4000.0,3991.6,4572.0,STDY
4000.0,3992.0,4571.0,STDY
4000.0,3992.4,4569.0,STDY
4000.0,3992.4,4571.0,STDY
4000.0,3992.8,4567.0,STDY
4000.0,3992.8,4568.0,STDY
4000.0,3993.3,4567.0,STDY
4000.0,3993.0,4567.0,STDY
4000.0,3993.5,4571.0,STDY
4000.0,3993.8,4567.0,STDY
4000.0,3993.1,4569.0,STDY
4000.0,3993.8,4571.0,STDY
4000.0,3992.7,4571.0,STDY
4000.0,3993.1,4571.0,STDY
4000.0,3994.3,4569.0,STDY
4000.0,3993.7,4570.0,STDY
4000.0,3994.5,4571.0,STDY
4000.0,3994.2,4570.0,STDY
4000.0,3994.8,4568.0,STDY
4000.0,3994.6,4568.0,STDY
4000.0,3994.8,4568.0,STDY
4000.0,3995.1,4572.0,STDY
4000.0,3995.0,4568.0,STDY
4000.0,3995.4,4568.0,STDY
4000.0,3995.1,4571.0,STDY
4000.0,3995.2,4570.0,STDY
4000.0,3995.6,4567.0,STDY
4000.0,3994.9,4567.0,STDY
4000.0,3995.4,4572.0,STDY
4000.0,3994.5,4569.0,STDY
4000.0,3994.7,4575.0,STDY
4000.0,3995.6,4570.0,STDY
4000.0,3995.0,4570.0,STDY
4000.0,3995.4,4573.0,STDY
4000.0,3994.8,4572.0,STDY
4000.0,3994.2,4575.0,STDY
4000.0,3995.0,4575.0,STDY
4000.0,3994.6,4572.0,STDY
4000.0,3995.6,4575.0,STDY
4000.0,3995.4,4571.0,STDY
4000.0,3996.0,4574.0,STDY
4000.0,3995.5,4574.0,STDY
4000.0,3995.5,4574.0,STDY
4000.0,3995.5,4573.0,STDY
4000.0,3995.5,4572.0,STDY
4000.0,3995.8,4574.0,STDY
4000.0,3995.1,4574.0,STDY
4000.0,3995.5,4573.0,STDY
4000.0,3996.1,4574.0,STDY
4000.0,3995.8,4573.0,STDY
4000.0,3995.9,4574.0,STDY
4000.0,3995.1,4575.0,STDY
4000.0,3996.4,4573.0,STDY
4000.0,3996.6,4574.0,STDY
4000.0,3995.7,4572.0,STDY
4000.0,3997.2,4573.0,STDY
4000.0,3995.9,4574.0,STDY
4000.0,3997.0,4575.0,STDY
4000.0,3997.7,4574.0,STDY
4000.0,3996.2,4574.0,STDY
4000.0,3997.2,4574.0,STDY
4000.0,3996.4,4572.0,STDY
4000.0,3996.7,4574.0,STDY
4000.0,3997.1,4572.0,STDY
4000.0,3996.6,4575.0,STDY
4000.0,3996.8,4573.0,STDY
4000.0,3996.7,4575.0,STDY
4000.0,3996.5,4575.0,STDY
4000.0,3997.0,4575.0,STDY
4000.0,3997.1,4575.0,STDY
4000.0,3997.0,4576.0,STDY
4000.0,3997.1,4574.0,STDY
4000.0,3997.2,4575.0,STDY
4000.0,3997.0,4574.0,STDY
4000.0,3997.3,4573.0,STDY
4000.0,3997.1,4575.0,STDY
4000.0,3997.2,4573.0,STDY
4000.0,3997.3,4574.0,STDY
4000.0,3997.0,4574.0,STDY
4000.0,3997.0,4574.0,STDY
4000.0,3997.0,4575.0,STDY
4000.0,3997.4,4572.0,STDY
4000.0,3997.7,4572.0,STDY
4000.0,3997.5,4572.0,STDY
4000.0,3997.9,4573.0,STDY
4000.0,3997.9,4573.0,STDY
4000.0,3997.1,4576.0,STDY
4000.0,3997.9,4577.0,STDY
4000.0,3997.1,4576.0,STDY
4000.0,3997.5,4576.0,STDY
4000.0,3996.7,4574.0,STDY
